approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.00067293626,0.0,5.78,3.8555554999999995,0.0091780424118042,3,1,1.5703125,-0.0033510546,2048,571.8637971878052,2048,3.0837922
0.0017792037,0.0,8.04,5.22577779,0.012084722518920898,3,10,1.1330366,-0.003923572,20480,5919.2821829319,20480,5.377532
0.0002462279,0.0,9.9,6.586888879999999,0.11905843019485474,3,20,0.8889455,-0.00017288729,40960,12723.161413431168,40960,5.1715236
